Symbol	BREAST_BT549	BREAST_HS578T	BREAST_MCF7	BREAST_MCF7ADR	BREAST_MDAMB231	BREAST_MDAMB435	BREAST_T47D
RPS13	3.851825874	3.966129987	3.998661938	4.018192776	4.006942893	4.024096814	3.954143871
RPS14	4.054050959	3.985107692	4.056253246	4.060946003	4.017079885	4.014347397	4.088726791
RPS15A	3.975948066	3.969415917	4.096542376	4.141111799	3.942074541	3.937160575	4.054351808
RPS17/RPS17L	3.899765493	4.028589245	4.084890467	4.076522315	3.976789651	3.983170125	4.028655904
RPS18	4.15446232	4.193252006	4.152595312	4.155389372	4.178823291	4.199668508	4.141610466
RPS19	3.932964656	3.948791779	4.011944665	4.020654066	3.955473133	3.939246721	3.918849722
RPS20	4.020909486	4.003218881	3.914628691	3.947680966	3.696712623	3.657483031	3.946884331
RPS25	3.731208415	3.762289554	3.867820887	3.952919683	3.801393006	3.823862098	3.829947712
RPS26	3.433590826	3.3349091	3.448112747	3.488667805	3.590006353	3.606571678	3.579050569
RPS27	4.045232546	4.002676564	4.07790902	4.095762301	4.023088887	4.042242736	4.105533572
RPS27A	3.822086418	3.93152438	3.934511769	3.97872004	3.947908915	3.949950546	3.906708756
RPS27L	3.092782681	3.250835834	3.451608667	3.502393593	3.374426553	3.379129913	3.419856049
RPS3	3.862148457	3.95227399	4.005230658	3.955391522	3.910269837	3.918654144	3.95061034
RPS4X	4.010940907	4.034349995	4.00443474	4.025381887	4.056382934	4.069881831	3.966423623
RPS5	4.02727949	3.986147825	3.992507651	3.983319993	3.966599557	3.964423904	3.905085653
RPS7	3.80175213	3.898998368	3.899995236	3.845017685	3.911210685	3.888309172	3.816503397
RPS8	3.729960038	3.79367147	3.737924688	3.751378079	3.637015287	3.706107429	3.743412956
RPS9	3.360002878	3.353209701	3.493356261	3.461372701	3.333350448	3.290458734	3.291995116
RQCD1	2.186918431	2.130103225	1.819695319	1.803472388	2.16287738	2.155564702	1.816558317
RRAGA	3.140306313	2.81007254	2.701013707	2.637900186	2.881512864	2.835635032	2.855807759
RRM2	2.998107885	2.433236648	2.67692818	2.73184328	3.117238738	3.102783832	1.923205025
RSU1	2.96955121	3.07454686	2.418980213	2.348430162	2.656596798	2.628589403	2.309540513
RTN1 	0.374303229	0.348308185	1.031658817	0.837818651	0.382848501	0.357427367	0.518269033
RUVBL1	2.961786499	2.891127914	2.798406462	2.878180651	2.688362745	2.664333495	2.805266464
RUVBL2	3.13099599	3.065550539	2.901806341	2.840398342	3.102217485	3.053056877	2.890749189
S100A10	3.725743864	3.262585009	3.487261036	3.571318187	3.95408537	3.922609078	3.688472346
S100A11	3.531228294	3.312044224	3.380863416	3.288384191	3.519958123	3.546821946	3.50041994
S100A13	2.935058705	2.629608787	3.196799442	3.060433888	2.988213279	2.959566819	2.800465468
S100A6	3.780116189	3.742348842	2.941125164	2.832119347	4.057642414	4.023873344	3.638570121
SACM1L	2.65932998	2.778482751	2.351270111	2.498888117	2.763575059	2.756233002	2.668547069
SAE1	2.957678255	2.683575078	2.723129466	2.60808449	2.906378894	2.939254776	2.685799017
SAMM50	2.463025434	2.758813178	2.365357461	2.381444363	2.427301072	2.404214048	2.416637638
SAR1A	2.951324221	2.652346018	2.714269136	2.84373199	2.886085001	2.889944925	2.754692875
SAR1B	2.374763208	2.367172516	2.505746727	2.353242427	2.486359269	2.452729444	2.455845942
SARNP	2.824448797	2.557625811	2.67884961	2.574816343	2.671257744	2.675186975	2.700541458
SARS	3.495735128	3.558765362	3.284377119	3.206112871	3.311095327	3.293319026	3.196850398
SBDS	2.697550121	3.122397843	2.598169396	2.685026778	2.918106196	2.896615684	2.995295273
SCAMP2	2.293955984	2.344054889	2.530242037	2.465858575	2.539338785	2.52102733	2.405567134
SCAMP3	2.768925012	2.704264406	2.637766637	2.582337457	2.672904805	2.660616352	2.77556508
SCARB2	2.663109675	2.719611864	2.859609977	2.869831545	2.507786535	2.45747449	2.654537074
SCFD1	2.694950986	2.642658391	2.741094411	2.79222733	2.734078075	2.744264327	2.999105714
SCO1	2.567619681	2.419310644	2.359179802	2.237378676	2.334109343	2.282506365	2.23229636
SCP2	2.869318532	3.22921705	2.774664684	2.724328715	2.9002223	2.917036414	2.866009659
SDHB	2.791511254	2.863931702	2.610496623	2.578838875	2.666255688	2.649578884	2.570119074
SEC11A	3.209803606	3.120508368	3.59510884	3.627796243	3.222962491	3.207081523	3.390917051
SEC13	3.400989616	3.399173174	3.157123419	3.162264882	3.19515019	3.181181869	3.162789255
SEC23A	2.373557225	2.608299997	2.015579592	1.896215649	2.439028542	2.419893054	2.165205762
SEC24A	2.771211068	2.745425833	2.6230758	2.544638281	2.732885437	2.729919455	2.756296481
SEC24C	2.390870906	2.387902898	2.485027639	2.463973068	2.514760931	2.501063139	2.812032389
SEC61A1	2.742262538	3.41761273	2.691562547	2.762353122	2.817003853	2.880274901	2.939077825
SEC61B	3.326531804	3.205720795	3.1817655	3.170937772	3.304498741	3.335892862	3.172090542
SEC62 	1.189441215	1.473303458	1.245570448	1.247107183	1.370721036	1.350737589	1.390062181
SEC63 	2.488208356	2.395641963	2.253151899	2.497709682	2.243950875	2.177306682	2.311199708
SEL1L	2.490206301	2.871903476	2.772618762	2.792865256	2.71589537	2.717977404	3.245526763
SERBP1	3.238492406	3.176694731	2.994844712	3.021540973	3.018617911	3.043848949	2.717132497
SERPINH1	3.411097926	3.697923918	2.791022734	2.72960572	2.942485096	2.95663389	2.859577608
SET	3.403525228	3.249408588	3.370668418	3.520030226	3.2939229	3.401525498	3.280921657
SF1	2.505003423	2.435579472	2.482218689	2.538512639	2.629371143	2.586919904	2.423609323
SF3A1	2.513953243	2.700423434	2.474282142	2.474206078	2.442673703	2.4289565	2.355588516
SF3A3	2.591561864	2.415285315	2.282471195	2.16372391	2.424842435	2.358104815	2.159667787
SF3B1	2.372190009	2.351752379	2.555782469	2.604964283	2.513651706	2.56242347	2.492827539
SF3B2	2.896724668	3.001028452	2.91738947	2.849354746	2.981145469	2.943094739	2.880124406
SF3B3	2.772526898	2.506313988	2.684497581	2.553550249	2.591169584	2.53568448	2.564208216
SFN	1.372721065	1.924485714	2.080231907	1.974601683	2.52828508	2.448733783	1.971678048
SFPQ	2.836117712	2.313963458	2.721733895	2.747558708	2.711158514	2.710285551	2.6557649
SFXN1	2.160153029	2.003368066	2.236747495	2.352308174	2.260063166	2.320429281	1.921295968
SGPL1	1.143477282	1.282372189	1.420889523	1.483667126	1.259680136	1.31042454	1.553703618
SGTA	2.351377538	2.324977414	2.154285993	2.086963397	2.28881571	2.284251161	2.17892148
SH3GL1	2.520840391	2.516945917	2.110071782	2.107250898	2.480226875	2.405407644	2.191264334
SHMT2	2.220957287	2.274723831	2.091751383	1.917779683	2.144200496	2.114591263	2.113480604
SIL1 	2.251245183	2.31504018	2.304187802	2.259741925	2.343985549	2.324843651	2.473603889
SKP1/SKP1P2	2.797341523	2.653274904	3.005609205	3.110265861	2.940774437	2.937755829	2.933737139
SLC1A5	2.86021525	3.235470853	2.701599585	2.674885166	2.768166198	2.786385157	2.697413963
SLC25A1	2.539725271	2.77583323	2.688630055	2.550743094	2.527541799	2.505475883	2.425854834
SLC25A11	2.471037449	2.437831532	2.486479439	2.478706765	2.227813062	2.22288615	2.198318854
SLC25A12	1.624059901	1.967279904	1.629616429	1.590652193	1.846071432	1.819216306	1.618510329
SLC25A13	2.430022891	1.621690225	2.49745308	2.548177865	2.348014105	2.32601306	2.115033411
SLC25A22	1.972010054	1.837853034	1.8072508	1.791868569	2.062870336	2.06428929	1.949021958
SLC25A24	2.880965447	2.735336171	2.715288884	2.794438466	3.149584527	3.173444254	2.646786629
SLC25A3	3.571395152	3.718405888	3.691429747	3.609876253	3.752539427	3.749201797	3.767848632
SLC25A32	3.051304592	3.06593217	2.535617597	2.642105141	2.669019714	2.654428885	2.363026963
SLC25A4	2.257593326	2.450214326	2.420791923	2.416485115	2.513351837	2.522545158	2.309388504
SLC25A5	3.636960912	3.339086524	3.769944558	3.692546453	3.617193914	3.616747446	3.28129188
SLC25A6	3.481049705	3.576508627	3.566777369	3.485931415	3.614074844	3.614913664	3.504325953
SLC27A4	2.230191803	2.06882086	2.180424549	2.123837699	2.258641602	2.236109801	2.149917831
SLC39A7	2.133945685	2.367277307	2.187579664	2.158673825	2.390531285	2.402512647	2.473401666
SLC4A1AP	2.198466837	2.393806404	2.14389409	2.177381583	2.437786014	2.356141373	2.170996584
SLC4A7	2.477722096	2.587545507	1.68488562	1.740486598	1.719547869	1.792405111	2.066774142
SLC7A1	1.736617899	1.324727516	1.281365978	1.474992262	1.368019788	1.532912281	0.908032883
SLC7A5	3.161442719	3.339807216	3.594391624	3.652775165	3.002668818	2.980653604	2.843458248
SLIRP	3.255133517	2.871961033	3.257380239	3.251235834	3.25352743	3.232773093	3.283893196
SMARCC2	2.330745631	2.077711376	2.449671923	2.146903411	2.257400117	2.22218961	2.402472928
SMC1A	1.268623539	0.960957385	1.060740087	1.323824094	1.268600447	1.359490372	1.282392544
SMC2	1.614735715	1.547581244	1.573504623	1.581192242	1.705428078	1.703056653	1.484329585
SMC3	2.185691926	2.075422648	2.209160532	2.547482166	2.442389925	2.453982242	1.955936458
SMC4	3.116387801	2.843331527	2.658331001	2.660226875	3.169729148	3.147133109	2.825168995
SMCHD1	1.418045231	1.505913678	1.556356601	1.828129993	1.524074459	1.547306835	1.149487115
SMU1	2.617090953	2.271112083	1.946638906	1.971196576	2.369047666	2.336131481	2.077331707
SNAP23	2.588167494	2.746696119	2.479522733	2.594087781	2.668319866	2.708737314	3.055289426
SNAP29	2.471927343	2.612125861	2.466564868	2.246813905	2.412046086	2.369215066	2.49309414
SNAPIN	2.641972683	2.5481819	2.750822483	2.762225632	2.610706276	2.578284266	2.832956394
SND1	2.729644733	2.900489806	2.852495647	2.887043775	2.841970339	2.852997052	2.662557444
SNRNP200	2.913162005	3.009074121	3.230736789	3.235184328	2.991435702	3.01827737	2.985571804
SNRNP70	2.696862183	2.543175116	2.660744861	2.703697846	2.721246744	2.742099111	2.461111106
SNRPA	2.952994383	2.484942572	2.989053712	2.800102833	2.806980495	2.792035966	2.548713786
SNRPA1	2.778459412	2.745184878	2.759778067	2.839995618	2.958568896	2.96797962	2.729830394
SNRPB	3.172381452	2.978316422	3.022364013	3.02499286	3.193109527	3.199060058	3.002370795
SNRPD1	3.138487547	2.785569724	3.036847614	2.984971854	3.288593539	3.252143918	2.649990541
SNRPD2	3.549829646	3.522934672	3.600266154	3.509494167	3.678677751	3.6257351	3.382573943
SNRPF	3.073402556	2.62198949	3.219769786	3.167356318	3.144272542	3.167965981	3.00279476
SNTB2	2.221457372	2.330123223	2.118565157	2.110346857	2.289003966	2.322717943	2.133175215
SNX1	2.339985972	2.374811511	2.707056568	2.594687842	2.496967829	2.457534192	2.762459743
SNX12	2.65703623	2.349054707	2.290851857	2.155148906	2.657953342	2.65564397	2.278183635
SNX2	2.937638193	2.813377184	2.861710517	2.798609132	2.795222216	2.763657818	2.940312345
SNX3	3.359522292	3.085467383	2.875978433	2.824224881	3.13587833	3.127600744	2.962809911
SNX6	3.045005968	2.904402296	2.81511596	2.714254567	3.123886272	3.147805244	3.085786032
SOD1	3.346847821	3.327698088	3.221014143	3.238851156	3.567287577	3.537630342	3.528694743
SOD2	3.635210908	2.403061579	1.733532592	1.771135205	2.327582617	2.345979595	1.682226882
SPAG9	2.166868208	2.243573364	1.815395066	1.938721901	2.253248634	2.228300768	2.144210696
SPC24 	2.473210509	1.853328656	1.931681852	2.009107587	2.311671516	2.293328977	1.635811065
SPCS2	3.069415297	3.12750104	3.199729235	3.090916325	3.219919584	3.210731404	3.406258456
SPCS3	1.437212157	1.843018147	1.828742832	1.946489431	2.209501314	2.147775749	1.872350326
SPR 	2.044353063	2.088059295	2.577755853	2.515633932	2.528805977	2.528262505	2.29645744
SPRYD4	1.662210519	1.693447597	1.965692688	1.89689116	1.623140086	1.609922999	2.1742996
SPTBN1	2.280776671	2.624417848	2.143627163	2.087942624	2.866571944	2.841841242	1.869219753
SPTLC1	2.304567694	2.360867023	2.518747008	2.504691045	2.474208139	2.442286933	2.251879731
SRI	1.989603861	1.557047787	1.396273198	1.641948576	1.967039309	2.010437091	1.682481943
SRM	2.965057563	2.94279539	2.57743574	2.57133351	2.776777738	2.768519889	2.303483703
SRP14 	3.365529553	3.3858834	3.422852254	3.357747326	3.442045016	3.487214524	3.591480741
SRP19	3.021137591	2.814389412	2.950251954	2.966201808	2.939508389	2.954996955	2.946314223
SRP54	2.781303569	2.734017407	2.795458942	2.80584532	2.769490039	2.736741428	2.97513837
SRP68 	2.537756488	2.47768324	2.769190751	2.685470599	2.853280975	2.843637134	2.905699929
SRP72 	2.60756881	2.824623778	2.715056928	2.984797201	2.7626093	2.767447588	2.721774913
SRPR	2.177197799	2.73449422	2.089717181	2.078017916	2.418557824	2.488869791	2.662773222
SRPRB	2.844248318	3.043313615	2.819950918	2.915222841	2.525537726	2.51364447	3.007738726
SRRM1	2.593668528	2.539017759	2.409291849	2.216693784	2.484652751	2.439610955	2.369743328
SRRM2	1.676451493	1.783707431	1.795962886	1.760393424	1.731963596	1.741164946	1.872061023
SRRT	1.980359672	1.73682458	1.954502892	1.887708048	1.976540366	1.937629559	1.792134346
SRSF1	2.931361789	2.529970485	3.139919749	3.190819108	3.017356645	3.033231858	3.024009535
SRSF11	2.512831875	2.294945321	2.222880079	2.111081574	2.159869786	2.187606576	1.989204919
SRSF2	2.765860147	2.302294528	2.769934178	2.777629819	2.85793894	2.850622789	2.652567298
SRSF3	3.2266133	3.098650298	3.228370335	3.147954367	3.25144995	3.23962606	2.918759432
SRSF6	2.551612014	2.266915268	2.337755002	2.542523184	1.99393434	2.119026557	2.349949568
SS18L2	2.660079907	2.581470705	2.478114348	2.346161683	2.719033047	2.70615901	2.711487722
SSB	2.683721105	2.771155927	2.680328709	2.727689625	2.764708323	2.806154205	2.587162681
